Name,Speed,Control,Stiffness,Overall,Price,Ratings
Butterfly Kreanga Carbon,9.3,7.5,7.6,9.2,$400,24
Butterfly Kreanga PowerKev Carbon,9.7,9.6,0.0,9.5,$110,2
Butterfly Kreanga Powerspin,8.4,7.8,5.9,8.2,$65,8
Butterfly Kumpuru,8.4,8.7,7.0,8.9,$100,3
Butterfly Lapuhta,10.0,9.5,6.5,9.5,$69,2
Butterfly Lars Hielscher,,,,,$80,0
Butterfly Lejumu,6.5,7.5,10.0,7.0,$56,2
Butterfly Liu Shiwen,9.1,9.5,3.5,9.6,$259,43
Butterfly Liu Shiwen ZLF,9.4,9.5,4.0,9.7,$259,3
Butterfly Madash,8.0,8.0,3.0,9.0,$50,1
Butterfly Marcos Freitas ALC,9.0,9.2,5.0,9.3,$203,11
Butterfly Matsushita Pro,6.0,8.7,2.9,8.5,$50,10
Butterfly Matsushita Pro Alpha,7.5,9.5,3.0,9.0,$140,2
Butterfly Matsushita Pro Special,7.1,9.3,6.5,8.6,$120,4
Butterfly Maze Advance,5.8,9.8,6.0,9.7,$47,4
Butterfly Maze Magic,8.5,8.0,5.0,8.3,$45,1
Butterfly Maze Passion,8.0,8.9,5.7,8.8,$65,13
Butterfly Maze Performance,8.5,8.4,5.1,8.9,$70,15
Butterfly Maze T-Tec ALL+,7.6,8.6,9.0,8.8,$60,4
Butterfly Maze T-Tec OFF,8.0,8.3,5.1,8.7,$85,8
Butterfly Mazunov,8.8,7.7,6.7,8.6,$80,14
Butterfly Michael Maze,8.6,8.6,5.2,9.3,$250,53
Butterfly Millerga,8.2,8.6,4.0,8.5,$49,4
Butterfly Moonbeam,9.2,6.6,8.3,8.8,$400,15
Butterfly Nitchugo Super,8.9,8.4,7.5,9.0,$50,7
Butterfly Oh Sang Eun,7.8,8.9,4.9,9.0,$65,20
Butterfly Paramount 7.5,,,,,$235,0
Butterfly Perdir,9.0,9.5,5.0,9.5,,1
Butterfly Petr Korbel,8.3,8.6,5.0,8.9,$63,79
Butterfly Phalanx II,7.9,8.9,5.0,9.0,$56,3
Butterfly Photino,9.3,8.4,5.5,9.5,$200,28
Butterfly Photino Light,9.4,8.4,4.4,9.2,$159,15
Butterfly Power 7,9.0,8.4,5.2,8.8,$60,13
Butterfly Power Defence,8.0,7.5,10.0,8.3,$55,2
Butterfly Power Drive,8.5,8.8,5.0,9.2,,3
Butterfly Power Drive II,8.9,9.1,3.0,9.9,$80,4
Butterfly Primo Powerfeeling,,,,,,0
Butterfly Primo Vitesse,8.4,8.4,6.5,8.6,$100,12
Butterfly Primorac,7.7,8.8,4.5,8.7,$50,77
Butterfly Primorac 2000,8.3,8.4,5.0,9.2,$40,4
Butterfly Primorac 2017,7.8,8.5,3.0,8.3,$45,2
Butterfly Primorac Carbon,9.3,7.4,7.2,8.9,$108,56
Butterfly Primorac EX,8.3,9.2,4.8,9.2,$68,16
Butterfly Ranunculus,,,7.0,,,1
Butterfly Redox,7.8,8.2,5.0,8.5,$63,1
Butterfly Retriever,7.5,9.0,7.0,10.0,$115,1
Butterfly Reygundo,,,,,$120,0
Butterfly Ryu Seung Min G Max,9.7,8.7,6.8,9.6,$120,4
Butterfly Ryu Seung Min G Max T5000,,,,,$140,0
Butterfly Ryu Seung Min Max,9.8,7.0,10.0,9.9,$200,1
Butterfly Ryu Seung Min ZLC Japanese,9.0,8.6,5.0,9.4,$350,1
Butterfly SA-01,5.8,9.2,5.0,9.0,$58,1
Butterfly Salvo,,,,,,0
Butterfly Sardius,9.5,7.1,8.4,8.8,$135,54
Butterfly Schlager Aramid Carbon OFF,8.3,9.5,5.0,9.0,$150,2
Butterfly Schlager Carbon,9.5,7.3,8.5,9.0,$300,48
Butterfly Schlager Carbon Light,9.2,8.1,6.0,9.3,$150,9
Butterfly Schlager Inspire,9.6,7.2,7.0,9.0,$85,1
Butterfly Schlager Precision,7.6,8.1,5.1,8.4,$71,15
Butterfly SCS-2000,7.5,7.3,4.0,7.7,$35,2
Butterfly Senkoh 6,,,,,,0
Butterfly Senkoh 85,7.8,8.3,8.5,8.0,$55,3
Butterfly Senkoh 90,8.9,8.4,6.2,9.2,$75,5
Butterfly Senkoh FT-S,,,,,$50,0
Butterfly Senkoh HCK,9.0,8.0,5.0,8.0,$85,1
Butterfly Senkoh MAX,9.4,8.1,5.9,9.0,$75,7
Butterfly Senkoh Special 90,9.0,9.0,10.0,9.0,$76,1
Butterfly Senkoh Special 92,,,,,$70,0
Butterfly Senkoh-1,8.3,8.5,6.8,8.6,$85,6
Butterfly Senkoh-5,8.0,9.0,5.0,8.0,$53,2
Butterfly Shamada,,,,,$45,0
Butterfly SK Carbon,8.6,8.3,4.8,8.7,$106,6
Butterfly SK Classic,8.7,9.0,7.0,9.0,$89,1
Butterfly SK7,8.4,8.7,4.8,8.7,$99,5
Butterfly Strave OFF,,,,,$129,0
Butterfly Supreme Speed,,,,,$175,0
Butterfly Taksim,9.0,8.6,6.2,9.2,$260,12
Butterfly Taksim X,,,,,$185,0
Butterfly Tamaropa,9.0,6.0,,,$20,1
Butterfly Tamca Gergely 5000,9.0,5.0,10.0,9.8,,1
Butterfly Tamca ULC,9.0,7.0,6.7,9.3,$126,3
Butterfly Tenper Speed,,,,,$70,0
Butterfly Tiago Apolonia ZLC,9.1,9.0,5.2,9.4,$260,11
Butterfly Timberfeel OFF-,8.0,9.2,5.0,9.3,$66,4
Butterfly Timbershot Off+,9.0,8.0,7.0,8.0,$90,2
Butterfly Timbertouch ALL,7.2,9.3,5.0,9.5,$53,2
Butterfly Timo Boll,8.0,9.5,3.0,9.3,$45,3
Butterfly Timo Boll ALC,8.9,8.6,5.7,9.3,$150,115
Butterfly Timo Boll ALL,7.0,9.5,6.7,9.1,$55,3
Butterfly Timo Boll ALL+,7.8,9.1,3.7,8.7,$53,25
Butterfly Timo Boll CAF,9.5,8.7,5.0,9.7,$113,4
Butterfly Timo Boll Forte,8.5,8.2,5.2,8.5,$70,21
Butterfly Timo Boll J,,,,,$73,0
Butterfly Timo Boll OFF-,7.9,8.6,5.3,8.8,$65,19
Butterfly Timo Boll Spark,7.6,8.1,3.5,8.5,$145,13
Butterfly Timo Boll Spirit,8.5,8.5,5.5,9.3,$115,106
Butterfly Timo Boll T5000 Tamca,9.6,8.0,7.2,9.1,$140,24
Butterfly Timo Boll TJ,,,,,$113,0
Butterfly Timo Boll W5,8.5,9.0,5.3,9.3,$85,25
Butterfly Timo Boll W7,8.9,8.7,7.1,8.6,$93,14
Butterfly Timo Boll XXS,8.0,8.3,6.7,8.3,$25,4
Butterfly Timo Boll ZLC,9.4,9.1,5.4,9.3,$227,41
Butterfly Timo Boll ZLF,8.8,9.3,5.1,9.4,$250,43
Butterfly Viscaria,9.0,8.7,5.0,9.4,$148,109
Butterfly Viscaria Light,8.8,8.3,6.2,9.5,$150,17
Butterfly VSG-1000,9.3,7.7,4.0,8.6,$196,6
Butterfly VSG-2000,9.2,7.8,6.4,8.4,$46,7
Butterfly VSG-3000,8.2,8.4,5.0,8.5,$60,2
Butterfly VSG-4000,8.0,8.2,6.6,8.5,$44,6
Butterfly VSG-TWIST I,,,10.0,,$60,1
Butterfly VSG-TWIST II,9.0,9.0,5.0,8.0,$60,2
Butterfly VSG-TWIST III,2.9,9.9,3.0,8.9,$64,1
Butterfly VSG-TWIST IV,9.0,6.0,6.0,9.0,$80,2
Butterfly Wakaba-An,8.0,8.4,4.6,8.0,$40,10
Butterfly XStar,7.2,8.8,3.7,8.5,$50,6
Butterfly XStar III,6.5,9.1,3.0,8.8,$55,1
Butterfly XStar IV,7.3,9.5,7.0,9.0,$66,2
Butterfly Yoshida Kaii,8.3,8.5,7.0,9.3,$75,4
Butterfly Yoshimura Maharu,,,,,$330,0
Butterfly Yuki- AN,,,,,$40,0
Butterfly Yuki-II,8.5,8.9,5.0,8.9,$40,1
Butterfly Zhang Jike,8.6,9.1,4.8,9.4,$160,30
Butterfly Zhang Jike ALC,9.2,9.0,5.7,9.5,$165,22
Butterfly Zhang Jike Super ZLC,9.4,9.4,6.3,9.5,$413,37
Butterfly Zhang Jike T5000,9.0,8.8,7.0,9.3,$170,5
Butterfly Zhang Jike ZLC,9.1,8.8,7.8,9.0,$275,5
Butterfly Zhang Yining,7.9,8.3,4.0,8.5,$55,2
Champion Bipa,9.0,9.0,7.0,8.8,$30,1
Champion Bipa Special,9.0,9.0,7.0,9.0,$40,2
Champion Hinoki Pro Gold,9.0,8.0,3.0,8.0,$90,1
Champion Hinoki Pro Silver,,,,,$70,0
Champion MAXX,,,,,$54,0
Cornilleau AERO ALL,5.5,9.5,3.0,,,1
Cornilleau AERO ALL+,9.5,,,,,1
Cornilleau AERO OFF,8.6,9.0,5.7,8.4,$50,3
Cornilleau Aero OFF+ Soft Carbon,9.1,8.7,4.4,9.3,$59,14
Cornilleau AERO OFF-,,,,,,0
Cornilleau Calderano FOCO OFF+,9.1,9.5,6.0,9.4,$48,2
Cornilleau Calderano FOCO OFF-,,,,,$48,0
Cornilleau CONQUEST OFF,8.3,9.1,7.0,9.7,$95,3
Cornilleau Gatien Absolum OFF+,9.6,7.9,7.0,9.6,$120,3
Cornilleau Gatien Crown ALL+,7.5,9.5,4.0,9.0,$45,2
Cornilleau Gauzy Quest All+,,,,,$40,0
Cornilleau Gauzy Quest OFF,,,,,$45,0
Cornilleau GLORY OFF,,,,,$105,0
Cornilleau Hinotec ALL+,7.5,7.3,5.0,7.5,,2
Cornilleau Hinotec OFF,8.2,8.5,4.3,8.7,$65,4
Cornilleau Hinotec OFF+ Carbon,9.1,7.8,5.0,7.8,$100,6
Cornilleau Hinotec OFF-,7.8,8.5,3.8,8.3,$71,5
Cornilleau Hugo Calderano OFF+,8.0,8.5,6.3,9.7,$60,3
Cornilleau Hugo Calderano OFF-,6.0,6.0,3.0,6.0,$60,1
Cornilleau ORIGIN OFF-,8.5,8.9,6.0,8.6,,2
Cornilleau PURE CARBON OFF+,9.1,7.7,7.0,8.6,$88,3
Cornilleau Simon Gauzy Quest Off,8.3,9.4,6.2,9.4,$45,7
Cornilleau VISION SOFT CARBON OFF+,8.7,8.0,6.4,9.1,$45,9
CTTA Carbon Strike,7.8,8.5,2.5,8.0,$32,2
CTTA Pro Tour Carbon Flex,8.2,8.8,3.3,9.0,$32,3
CTTA Super League Pro Flex,8.0,8.0,5.0,8.0,$18,1
CTTA Super League Silver Power,6.8,8.3,6.0,7.1,$18,2
Darker 5P-2A,8.4,8.4,5.0,9.3,$90,2
Darker 7P-2A,8.3,9.2,6.5,9.6,$103,8
Darker 7p-2a Point Carbon,8.6,9.2,3.0,9.0,$120,1
Darker 7P-2A.7t,8.6,9.1,5.8,9.2,$118,5
Darker 7P-2A.Carbon,8.8,9.6,4.7,8.9,$128,8
Darker 7P-2A.DF,6.7,9.6,3.3,8.9,$90,4
Darker 7P.2A Aquablade,,,,,$90,0
Darker Alba Sakura,,,,,$150,0
Darker Aquablade Alpha,,,,,$150,0
Darker Esteem,9.4,9.3,5.4,9.2,$121,10
Darker Hinoki Tanpan,8.5,8.8,6.0,9.0,$400,3
Darker Legato 2A,8.3,8.5,6.0,8.1,$66,2
Darker Liberta Synergy,9.3,9.4,5.0,9.3,$141,2
Darker Liberta Synergy+,,,,,$170,0
Darker Liberta Willow,,,,,$130,0
Darker Mai Gouban,9.1,9.4,5.0,9.2,$100,1
Darker Serio Sakura,9.5,8.5,5.0,9.0,$150,1
Darker Speed 25 AL,9.0,9.0,5.0,9.5,$89,1
Darker Speed 25 GR Kaku,,,,,$100,0
Darker Speed 25 Kaku,,,,,$110,0
Darker Speed 90,9.5,9.4,4.3,9.5,$300,26
Darker Spline D1,,,,,$85,0
Darker Spline N2,,,,,$100,0
Darker Spline N3,,,,,$100,0
Dawei Carbon King,,,,,$38,0
Dawei DC 20,,,,,$38,0
Dawei Energy,,,,,$38,0
Dawei Genote Bio X50,,,,,$35,0
Dawei Genote Quattro A+,,,,,$28,0
Dawei Genote Quattro C (EC),,,,,$38,0
Dawei Genote Quattro F (EF),8.3,8.8,7.0,8.8,$25,4
Dawei Genote Quattro O (EO),8.0,9.0,0.0,8.2,$32,1
Dawei Genote Quattro S (ES),8.1,7.5,2.8,8.3,$32,4
Dawei Genote Quattro X (EX),8.8,8.0,5.0,8.0,$31,3
Dawei GTO,8.2,8.6,6.0,8.6,$38,3
Dawei GTS,7.3,7.2,3.8,8.7,$32,4
Dawei Kama,8.4,8.5,5.0,8.5,$11,3
Dawei Matrix,8.2,8.4,4.2,8.3,$18,8
Dawei Maxim,9.1,7.6,5.0,7.0,$35,1
Dawei MHN 1-Ply Hinoki,8.4,8.2,1.5,8.4,$40,2
Dawei MPC,,,,,$40,0
Dawei MPI,7.0,7.5,10.0,7.5,$35,1
Dawei MPV,8.0,6.0,10.0,8.0,$47,1
Dawei Navigator WRC,8.8,8.6,5.0,9.0,$33,1
Dawei Quattro Allround Hinoki,,,,,$22,0
Dawei Quattro Allround Limba,8.3,9.0,4.0,8.8,$22,2
Dawei R1,,,,,$15,0
Dawei R2,7.9,8.7,4.7,8.7,$14,6
Dawei R3,8.3,10.0,3.0,10.0,$15,2
Dawei R4,,,,,$15,0
Dawei R5,8.0,7.0,8.5,8.0,$15,3
Dawei S.Matz,8.8,8.6,7.0,8.8,$40,1
Dawei Saviga+,8.5,9.5,3.0,,$22,1
Dawei Smart,,,,,$38,0
Dawei ST-1 Crystal Carbon,,,,,$25,0
Dawei Swift,7.8,8.0,7.0,8.0,$36,1
Dawei VTS,,,,,$50,0
Dawei Wavestone,10.0,6.0,10.0,8.9,$32,1
Dawei Wavestone WRB,9.1,7.4,6.8,9.1,$43,6
Dawei Whizz,7.0,8.0,,8.0,$36,1
Der Materialspezialist 2 Faces,,,,,$165,0
Der Materialspezialist Defensor,6.0,10.0,3.0,10.0,$90,1
Der Materialspezialist Destroyer,,,,,$135,0
Der Materialspezialist Dr. Jekyll And Mr. Hyde,6.5,8.5,4.0,8.0,$86,2
Der Materialspezialist Excalibur,8.0,9.0,5.0,8.5,$75,1
Der Materialspezialist Invictus,,,,,$85,0
Der Materialspezialist Olympea,,,,,$90,0
Der Materialspezialist Protector,,,,,$75,0
Der Materialspezialist Spinhunter,,,,,$75,0
Der Materialspezialist The Wall,5.0,9.8,5.0,9.7,$75,1
Der Materialspezialist Tomahawk Next Generation,,,,,$75,0
Der Materialspezialist Trouble,6.0,10.0,3.0,10.0,$65,1
Der Materialspezialist Wizard,8.0,9.0,5.0,10.0,$68,1
Donic Alligator Combi,6.4,9.5,5.9,9.2,$48,9
Donic Appelgren Allplay,6.8,8.8,4.0,8.9,$28,38
Donic Appelgren Allplay Senso V1,6.7,8.9,2.5,8.9,$44,11
Donic Appelgren Allplay Senso V2,7.0,9.1,3.6,9.2,$45,7
Donic Appelgren Dotec Control,7.4,8.4,5.0,8.2,$43,12
Donic Appelgren Exclusive AR,7.5,8.4,4.1,7.8,$31,7
Donic Appelgren Falcon,7.5,9.0,3.0,10.0,$40,1
Donic Appelgren World Champion 89,8.3,9.7,5.1,9.0,$112,10
Donic BalsaCarbo Fibre,7.9,8.3,5.5,8.2,$93,5
Donic BalsaCarbo Fleece,,,,,$72,0
Donic Baum Carrera Senso,9.4,7.9,6.3,9.1,$43,4
Donic Baum Esprit,8.7,9.1,4.9,9.3,$52,12
Donic Baum Exclusive Off,,,,,$33,0
Donic Baum SawTec OFF,8.3,8.7,4.5,9.0,$39,5
Donic Black Devil,,,,,,0
Donic Black Thunder V1,9.1,6.9,10.0,6.9,$61,2
Donic Bloodwood 5,8.3,8.4,5.4,8.7,$77,6
Donic Bloodwood 7 Senso,8.8,8.0,9.3,8.9,$99,6
Donic Blue Enforce,,,,,$44,0
Donic Blue Feeling,7.6,9.6,5.0,9.6,$53,1
Donic Burn ALL+,7.9,8.8,6.3,8.7,$50,18
Donic Burn Aratox,8.2,8.5,4.6,9.0,,6
Donic Burn Aratox RS,8.7,8.0,6.3,8.9,$85,10
Donic Burn Carbotox,9.2,9.1,5.4,9.3,$70,6
Donic Burn OFF,9.2,8.4,7.0,9.2,$36,5
Donic Burn OFF-,8.3,8.4,5.4,8.8,$50,22
Donic Carbo System OFF-,7.9,8.2,6.3,7.8,$60,5
Donic Carbo System OFFENSIVE,9.2,7.5,10.0,8.4,$60,1
Donic Carbo System OFFENSIVE PLUS,9.8,5.5,7.0,8.5,$57,3
Donic Cayman,8.1,8.3,6.6,8.6,$29,13
Donic Cork Handle,,,,,,0
Donic Crest AR+,8.7,9.2,6.7,9.5,$177,7
Donic Crest OFF,9.1,9.1,6.0,9.5,$177,2
Donic Crisan Titanium,9.3,7.3,7.0,9.0,$70,2
Donic Defplay Classic Senso,6.0,9.3,3.5,9.3,$50,16
Donic Defplay Classic V3,,,,,$29,0
Donic Defplay Senso,5.5,9.5,3.5,9.4,$50,21
Donic Defplay Senso V3,6.0,9.5,3.0,9.0,$32,2
Donic Dima SawTec AR,6.7,8.0,2.7,6.5,$39,3
Donic Dima Speedster,9.0,7.0,7.0,8.0,$90,1
Donic Donic Waldner OFF World Champion 89,10.0,9.9,7.0,10.0,$130,1
Donic Dyjas Ultra Power,,,,,$49,0
Donic Epox Carbotec,9.1,9.0,6.6,9.2,$67,12
Donic Epox Control,7.7,9.2,6.3,8.7,$57,17
Donic Epox Offensiv,8.6,8.1,5.5,8.7,$57,19
Donic Epox PowerAllround,8.3,8.8,6.7,8.7,$42,15
Donic Epox PowerCarbon,9.1,8.1,5.8,9.4,$62,8
Donic Epox TopSpeed,9.4,7.2,7.1,8.7,$56,21
Donic Extension AC,,,,,$140,0
Donic Extension OC,,,,,$140,0
Donic Integra,7.0,8.0,5.0,7.0,$30,1
Donic J.O. Waldner Offensiv,7.5,7.8,3.0,9.3,,2
Donic J.O. Waldner [Limited JO Shape],8.9,9.0,4.0,10.0,$46,3
Donic Katana Senso V3,,,,,$40,0
Donic Katana Speed,,,,,$51,0
Donic Kevplay,8.4,8.2,6.3,8.5,$51,3
Donic Li Ping Kitex,9.2,8.8,6.2,9.2,$79,11
Donic Master Carbon,,,,,$67,0
Donic Master Ultra Power,,,,,$40,0
Donic New Enforce,7.6,8.3,3.0,8.4,$70,3
Donic New Impuls 7.0,,,,,$100,0
Donic Opticon,7.7,8.6,6.2,8.4,$43,5
Donic Opticon RS,9.3,8.7,7.8,9.4,$40,5
Donic Ovtcharov Carbospeed,9.6,8.2,7.7,9.2,$63,33
Donic Ovtcharov Dotec ALL,7.0,9.0,7.0,8.0,$69,1
Donic Ovtcharov Dotec ALL+,7.9,9.1,6.7,8.7,$72,3
Donic Ovtcharov Dotec OFF,9.7,10.0,7.0,10.0,$72,2
Donic Ovtcharov Exclusive Carbon,8.7,9.3,5.0,9.0,$49,1
Donic Ovtcharov Feat,8.6,9.5,5.4,9.5,$90,5
Donic Ovtcharov No. 1,,,,,$123,0
Donic Ovtcharov No. 1 Senso,9.3,8.8,5.0,9.7,$215,2
Donic Ovtcharov Original Senso Carbon,9.2,8.7,5.3,9.5,$61,8
Donic Ovtcharov Senso Carbon V1,,,,,$79,0
Donic Ovtcharov Senso V1,8.9,8.0,6.8,8.9,$68,13
Donic Ovtcharov Senso V2,8.2,9.0,5.0,8.5,$58,3
Donic Ovtcharov Soft Carbon V1,8.1,8.3,5.7,8.4,$80,6
Donic Ovtcharov True Carbon,9.1,8.6,6.3,8.6,$99,13
Donic Persson Carbotec,9.0,6.5,7.8,8.4,$53,11
Donic Persson Dotec Carbokev,9.5,8.4,7.0,9.4,$95,7
Donic Persson Dotec OFF,8.4,8.7,5.2,8.7,$79,11
Donic Persson Exclusive OFF,7.9,8.4,5.5,8.5,$32,12
Donic Persson Impuls Offensive,8.0,8.5,7.0,8.0,$40,3
Donic Persson Power Allround,7.5,8.3,5.2,8.8,$43,10
Donic Persson Power AR Senso V1,8.1,8.8,3.0,9.2,$60,3
Donic Persson Power AR Senso V2,7.5,8.5,4.5,8.0,$41,4
Donic Persson Power Carbon,9.4,8.7,7.5,9.2,$55,11
Donic Persson Power Carbon Senso V1,9.2,7.6,6.1,9.0,$55,11
Donic Persson Powerfibre Senso,7.9,7.1,4.7,7.3,$60,6
Donic Persson Powerplay,8.6,8.4,5.5,8.9,$48,26
Donic Persson Powerplay Senso V1,8.3,8.1,6.3,8.5,$30,15
Donic Persson Powerplay Senso V2,7.6,7.5,5.8,8.3,$50,6
Donic Persson Powerspeed,9.0,7.0,6.3,8.2,$39,4
Donic Persson Seven,8.5,8.7,5.8,8.8,$49,6
Donic Persson World Champion 89,9.6,8.5,7.0,9.4,$112,6
Donic Persson Youngstar,,,,,$25,0
Donic Peter Franz GT-R,,,,,,0
Donic Senso,,,,,,0
Donic Shiono DEF,7.5,9.0,5.0,9.0,$85,2
Donic Smirnov Ultra Carbon,8.7,7.0,6.3,8.5,$50,3
Donic Smyrev,,,,,$45,0
Donic SSTRAIT X5,,,,,$29,0
Donic Testra Allround Classic,,,,,$33,0
Donic Testra AR,7.6,9.2,4.6,7.8,$29,5
Donic Testra AR Plus,7.8,8.9,4.3,8.1,$29,3
Donic Testra Carbon,,,,,$45,0
Donic Waldner Allplay,7.3,9.1,4.3,8.3,$30,13
Donic Waldner Black Devil Carbon Balsa,9.4,8.1,7.4,9.1,$57,43
Donic Waldner Black Power,7.5,9.0,5.0,9.0,$39,2
Donic Waldner Diablo Senso,8.1,8.7,4.8,9.0,$58,12
Donic Waldner Dicon,7.8,9.0,4.2,9.0,$48,10
Donic Waldner Dotec Allround,8.1,8.8,7.0,8.6,$73,6
Donic Waldner Dotec Carbon,9.1,9.3,6.5,9.4,$90,16
Donic Waldner Dotec Hinoki,9.2,8.9,6.1,9.5,$122,7
Donic Waldner Exclusive AR+,6.4,8.6,4.3,7.8,$39,5
Donic Waldner Hybrid Nano,7.0,7.0,5.0,8.5,,2
Donic Waldner Impuls IR,8.0,8.0,3.0,10.0,$45,1
Donic Waldner Lagonda,8.5,8.0,7.0,9.5,$40,3
Donic Waldner Legend Carbon,9.1,8.9,6.5,9.3,$58,17
Donic Waldner OFF World Champion 89,9.1,8.8,6.7,9.5,$130,18
Donic Waldner Offensive 2016,8.8,8.5,5.0,9.4,$43,3
Donic Waldner Senso Carbon,8.3,8.8,5.4,9.2,$50,73
Donic Waldner Senso Carbon JO Shape,8.4,9.3,5.7,9.4,$66,3
Donic Waldner Senso Carbon JO Shape Limited Edition,,,,,$75,0
Donic Waldner Senso V1,7.7,9.0,4.1,8.9,$40,10
Donic Waldner Senso V2,7.3,8.5,4.0,8.2,$40,5
Donic Waldner Ultra Senso Carbon,8.4,8.5,5.3,8.8,$61,39
Donic Waldner Ultra Senso Carbon JO Shape,,,,,$55,0
Donic Waldner Youngstar,,,,,$29,0
Donic Wang Xi Dotec Control Plus,6.6,9.5,3.6,8.8,$70,8
Donic Wosik Senso Carbon,9.4,7.4,7.0,8.7,$46,9
Donic Zhou Yu One,,,,,$60,0
Donic Zhou Yu Three,,,,,,0
Donic Zhou Yu Two,,,,,$75,0
Donier Allround+,8.0,7.0,7.0,8.0,$29,1
Donier BALSA CARBON OFF +,9.0,9.0,7.0,9.3,$30,1
Donier BALSA PLUS,10.0,9.0,7.0,9.0,$30,1
Donier Defensive,5.0,10.0,0.0,8.0,$25,1
Donier Offensive+,8.8,8.4,3.0,,$45,1
Donier RR+,8.0,9.8,3.0,9.9,$65,1
Double Fish Carbon KING 7 - PLY (Qi2),9.2,8.8,7.0,8.8,$160,3
Double Fish CQ3,,,,,$89,0
Double Fish HB Carbon,9.0,8.0,3.0,9.0,$45,1
Double Fish MK-II 7 - PLY,,,,,$67,0
Double Fish Qi,,,,,$45,0
Double Fish Volant Pro,,,,,$34,0
DHS 506 Ma Long,9.2,9.2,7.0,9.4,$113,13
DHS 801,,,,,,0
DHS Classic (1970s),9.0,9.0,7.0,9.0,$50,1
DHS Classic 032,,,,,$150,0
DHS Classic 08,,,,,$160,0
DHS DHS Hurricane Fang Bo B2X,9.7,9.7,7.0,10.0,$60,3
DHS Di-GT 9 Dipper Blackwood,9.2,9.0,7.0,9.2,$75,1
DHS DI-HT,8.4,9.4,5.0,8.2,$54,1
DHS Di-RT Dipper Rosewood,9.0,8.9,6.0,9.8,$70,2
DHS Dipper CP Monocarbon,7.7,8.5,6.0,8.7,$42,5
DHS Dipper CP100,,,,,$45,0
DHS Dipper Di-02,7.7,7.8,3.7,7.9,$115,6
DHS Dipper Di-03,7.5,8.8,7.0,8.0,$32,2
DHS Dipper Di-11,,,,,$39,0
DHS Dipper Di-13,8.3,8.3,5.0,8.6,$39,2
DHS Dipper Di-15,,,,,$39,1
DHS Dipper Di-16,,,,,$39,1
DHS Dipper Di-18,,,,,$39,0
DHS Dipper DM.SP10 Carbon,,,,,$46,0
DHS Dipper DM.SP2000,,,,,$45,0
DHS Dipper M C10,10.0,6.0,10.0,8.0,$56,1
DHS Dipper M CP200,,,,,$78,0
DHS Dipper M DM200,,,,,$71,0
DHS Dipper M G100,,,,,$80,0
DHS Dipper M G200,,,,,$37,0
DHS Dipper M SP02,,,,,$73,0
DHS Dipper M SP300,,,,,$79,0
DHS Dipper M SP500,9.5,7.5,5.0,,$90,1
DHS DM.C70 PLY 5+2C,,,,,$20,0
DHS Fang Bo All Wood,,,,,$65,0
DHS Fang Bo B2,,,,,$70,0
DHS Fang Bo Carbon,9.4,9.0,5.4,9.2,$72,21
DHS Hurrcane King II,,,,,$165,0
DHS Hurricane,,,,,,0
DHS Hurricane 301,9.2,9.5,4.1,9.6,$69,59
DHS Hurricane Bo 2 (Hurricane B2),9.5,9.2,5.0,9.4,$70,13
DHS Hurricane Dragon,,,,,,0
DHS Hurricane H-GY,9.1,9.6,6.0,9.6,$99,2
DHS Hurricane H-LG,8.0,6.5,6.5,7.3,$99,2
DHS Hurricane H-LN,8.0,9.0,,9.0,$98,1
DHS Hurricane H-QZ,,,,,$70,0
DHS Hurricane H-TP,9.1,8.7,2.3,9.4,$41,5
DHS Hurricane H-WH,8.8,8.4,5.5,8.9,$70,7
DHS Hurricane H-WL,9.5,8.5,7.1,9.3,$50,24
DHS Hurricane H-WN,8.7,8.0,6.3,9.0,$65,3
DHS Hurricane Hao,8.1,8.9,4.2,8.6,$89,14
DHS Hurricane Hao 656,8.7,9.3,6.2,9.3,$139,16
DHS Hurricane Hao II,8.5,9.8,5.0,9.3,$150,2
DHS Hurricane Hao III,9.0,9.4,7.4,9.5,$168,15
DHS Hurricane King,8.6,8.8,5.8,9.1,$141,27
DHS Hurricane King 655,8.4,8.6,5.3,9.1,$134,10
DHS Hurricane King III,9.3,9.1,6.8,9.5,$199,17
DHS Hurricane Long,9.6,9.4,5.5,9.5,$190,6
DHS Hurricane Long 2,9.2,9.5,7.2,9.1,$200,10
DHS Hurricane Long 3,9.4,9.4,5.3,9.6,$200,34
DHS Hurricane Long 5,9.7,9.3,5.5,9.6,$190,62
DHS Hurricane Long 5x,9.7,9.4,6.3,9.6,$130,3
DHS Hurricane Ning,,,,,$176,0
DHS Hurricane No.2,7.3,8.3,7.0,8.7,$60,2
DHS Hurricane Xia,9.6,9.9,5.0,9.8,$172,1
DHS Long 5,,,,,,0
DHS Ma Long Balance,7.0,8.0,7.0,7.0,$39,1
DHS Ma Long Energy,9.3,9.4,5.0,9.6,$55,1
DHS Ma Long Light,,,,,$49,0
DHS Magic A02,,,,,$38,0
DHS Magic A05,,,,,$70,0
DHS Magic C02,,,,,$28,0
DHS Magic C03,7.5,8.0,3.0,8.0,$28,1
DHS Magic D01 DEF,,,,,$45,0
DHS Magic D02 DEF,,,,,$56,0
DHS Magic D03,,,,,$62,0
DHS Magician M-02,8.2,9.2,2.7,8.7,$30,3
DHS Magician M-03,7.2,9.3,3.8,9.0,$25,5
DHS Magician M-11,,,,,$37,0
